sku,stock,product_type,overall_shape,seating_capacity,upholstery_material,upholstery_color,wayfair_overall_width_in,wayfair_overall_depth_in,wayfair_overall_height_in,product_weight_lbs,package_weight_lbs,base_cost,pieces_included,dims_source,extract_notes
W714S01964,41.0,Sectional,L-Shaped,3,Chenille,Green,101.1,58.2,34.6,161.7,190.3,383.56,Ottoman,vl,
W714S01923,50.0,Loveseat,Rectangle,2,Chenille,Beige,70.8,35.4,34.6,99.0,116.6,220.16,Does Not Apply,vl,
W714S01934,50.0,Sectional,L-Shaped,2,Chenille,Beige,70.8,34.6,34.2,123.2,145.2,293.26,Ottoman,vl,
W714S01935,30.0,Sectional,L-Shaped,2,Chenille,Beige,70.8,35.4,34.6,147.4,173.8,366.36,Ottoman,vl,
W714S01936,45.0,Sectional,L-Shaped,3,Chenille,Beige,101.1,34.6,34.2,137.5,161.7,310.46,Does Not Apply,vl,
W714S01937,45.0,Sectional,L-Shaped,3,Chenille,Beige,101.1,58.2,34.6,161.7,190.3,383.56,Ottoman,vl,
W714S01951,60.0,Loveseat,Rectangle,2,Chenille,Pink,70.8,35.4,34.6,99.0,116.6,220.16,Does Not Apply,vl,
W714S01952,60.0,Sectional,L-Shaped,2,Chenille,Pink,70.8,34.6,34.2,123.2,145.2,293.26,Ottoman,vl,
W714S01953,35.0,Sectional,L-Shaped,2,Chenille,Pink,70.8,35.4,34.6,147.4,173.8,366.36,Ottoman,vl,
W714S01954,45.0,Sectional,L-Shaped,3,Chenille,Pink,101.1,34.6,34.2,137.5,161.7,310.46,Does Not Apply,vl,
W714S01955,45.0,Sectional,L-Shaped,3,Chenille,Pink,101.1,58.2,34.6,161.7,190.3,383.56,Ottoman,vl,
