batch,sheet,sku,name,table_discount_price,table_shipping,stock,net_weight_lbs,gross_weight_lbs,child_combo,combo_box_count,is_combo,shipping_source
B4,97系列,W714P499779,97系列咖色脚凳,73.1,19.32,65.0,24.2,28.6,,1,False,excel_table
B4,97系列,W714S01960,97系列绿色双人位,220.16,76.82,48.0,99.0,116.6,W714P499778x1 | W714P499780x1,2,True,excel_table
B4,97系列,W714S01961,97系列绿色双人位+脚凳,293.26,96.14,48.0,123.2,145.2,W714P499778x1 | W714P499780x1 | W714P499782x1,3,True,excel_table
B4,97系列,W714S01962,97系列绿色双人位+2脚凳,366.36,115.46,30.0,147.4,173.8,W714P499778x1 | W714P499780x1 | W714P499782x2,4,True,excel_table
B4,97系列,W714S01963,97咖系列色三人位,310.46,113.2,41.0,137.5,161.7,W714P499778x1 | W714P499780x1 | W714P499781x1,3,True,excel_table
B4,97系列,W714S01964,97系列绿色三人位+脚凳,383.56,132.52,41.0,161.7,190.3,W714P499778x1 | W714P499780x1 | W714P499781x1 | W714P499782x1,4,True,excel_table
B4,97系列,W714P499778,97系列绿色左边位,110.08,38.41,48.0,49.5,58.3,,1,False,excel_table
B4,97系列,W714P499780,97系列绿色右边位,110.08,38.41,48.0,49.5,58.3,,1,False,excel_table
B4,97系列,W714P499781,97系列绿色中间位,90.3,36.38,41.0,38.5,45.1,,1,False,excel_table
B4,97系列,W714P499782,97系列绿色脚凳,73.1,19.32,61.0,24.2,28.6,,1,False,excel_table
B4,97系列,W714S01923,97系列米色双人位,220.16,76.82,50.0,99.0,116.6,W714P499651x1 | W714P499653x1,2,True,excel_table
B4,97系列,W714S01934,97系列米色双人位+脚凳,293.26,96.14,50.0,123.2,145.2,W714P499651x1 | W714P499653x1 | W714P499662x1,3,True,excel_table
B4,97系列,W714S01935,97系列米色双人位+2脚凳,366.36,115.46,30.0,147.4,173.8,W714P499651x1 | W714P499653x1 | W714P499662x2,4,True,excel_table
B4,97系列,W714S01936,97咖系列色三人位,310.46,113.2,45.0,137.5,161.7,W714P499651x1 | W714P499653x1 | W714P499660x1,3,True,excel_table
B4,97系列,W714S01937,97系列米色三人位+脚凳,383.56,132.52,45.0,161.7,190.3,W714P499651x1 | W714P499653x1 | W714P499660x1 | W714P499662x1,4,True,excel_table
B4,97系列,W714P499651,97系列米色左边位,110.08,38.41,50.0,49.5,58.3,,1,False,excel_table
B4,97系列,W714P499653,97系列米色右边位,110.08,38.41,50.0,49.5,58.3,,1,False,excel_table
